id;fatalities;street;ins_street;settl_unit;accs_type;pedestrian;road_type;road_cond;speed_kmh;weather;lighting;x_coord;y_coord;date
1373;0;Suurtüki tn;;Põhja-Tallinna linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Märg;30.0;Vihmasadu;Pimeda aeg;6589649.0;542141.0;2022-10-28
1374;0;Paldiski mnt;Merelahe tee;Haabersti linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6586173.0;536077.0;2022-03-18
1375;0;Sõpruse pst;;Kristiine linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6586360.0;540190.0;2023-11-20
1376;0;Madala tn;Sõle tn;Põhja-Tallinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6590333.0;539603.0;2021-04-20
1377;0;Narva mnt;J. Smuuli tee;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Pimeda aeg;6590118.0;546474.0;2021-07-24
1378;0;Mäepealse tn;Raja tn;Mustamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Lumelörts, soolalumine segu;40.0;Lumised olud;Pimeda aeg;6584348.0;537615.0;2023-02-05
1379;0;Tulika tn;;Kristiine linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6587645.0;541106.0;2022-02-09
1380;0;K. Kärberi tn;;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6590390.0;550556.0;2021-01-22
1381;0;Linnamäe tee;;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;40.0;Pilvised olud;Pimeda aeg;6590495.0;549253.0;2022-02-13
1382;0;Sõpruse pst;;Mustamäe linnaosa;Muu liiklusõnnetus;0.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6585656.0;539909.0;2022-02-17
1383;0;Estonia pst;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;30.0;Pilvised olud;Pimeda aeg;6588870.0;542864.0;2021-12-15
1384;0;Pärnu mnt;;Nõmme linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6579622.0;535792.0;2021-11-21
1385;0;Narva mnt;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Pole teada;;Pole teada;Teadmine puudub;6589259.0;544053.0;2024-12-02
1386;0;Kotka tn;;Kristiine linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Pole teada;;Pole teada;Teadmine puudub;6587454.0;541190.0;2024-09-06
1387;0;Narva mnt;J. Poska tn;Kesklinna linnaosa;Sõidukite külgkokkupõrge;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589448.0;544569.0;2022-04-30
1388;0;Nisu tn;;Põhja-Tallinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;;Pilvised olud;Valge aeg;6589650.0;539965.0;2023-02-12
1389;0;Vana-Kuuli tn;;Lasnamäe linnaosa;Muu liiklusõnnetus;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6589856.0;546983.0;2022-03-08
1390;0;Pöörise tn;;Mustamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;30.0;Pilvised olud;Valge aeg;6585651.0;536919.0;2024-08-10
1391;0;Pärnu mnt;Viljandi mnt;Nõmme linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6583915.0;540980.0;2023-07-21
1392;0;Retke tee;;Mustamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6585167.0;540132.0;2023-09-05
1393;0;Narva mnt;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589775.0;545628.0;2022-08-16
1394;0;Paldiski mnt;;Haabersti linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6585537.0;535041.0;2022-07-09
1395;0;Toompuiestee;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589329.0;541866.0;2021-07-14
1396;0;Õismäe tee;;Haabersti linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6586213.0;536335.0;2021-05-13
1397;0;Akadeemia tee;;Mustamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6585180.0;537313.0;2021-04-22
1398;0;Pärnu mnt;;Nõmme linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6583441.0;539083.0;2021-03-31
1399;0;Narva mnt;;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589944.0;546211.0;2021-06-01
1400;0;Toompuiestee;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589330.0;541862.0;2022-08-16
1401;0;Pärnu mnt;;Nõmme linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6583990.0;540938.0;2022-07-17
1402;0;Tööstuse tn;;Põhja-Tallinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6590358.0;541172.0;2022-08-26
1403;0;Järvevana tee;;Kesklinna linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;70.0;Pilvised olud;Valge aeg;6585933.0;542637.0;2024-10-03
1404;0;Kaarli pst;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588526.0;542018.0;2022-11-01
1405;0;Vabaduse pst;;Nõmme linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;;Selged olud;Valge aeg;6582052.0;538206.0;2021-06-09
1406;0;Narva mnt;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;40.0;Selged olud;Valge aeg;6589075.0;543008.0;2024-03-07
1407;0;Juhkentali tn;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6587930.09;543610.46;2023-07-11
1408;0;Peterburi tee;J. Smuuli tee;Lasnamäe linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6588229.0;547401.0;2024-11-16
1409;0;Tööstuse tn;Vana-Kalamaja tn;Põhja-Tallinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;30.0;Pilvised olud;Valge aeg;6589863.0;541881.0;2024-11-11
1410;0;Sõpruse pst;E. Vilde tee;Mustamäe linnaosa;Muu liiklusõnnetus;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6585027.0;539443.0;2023-03-16
1411;0;Mustakivi tee;Laagna tee;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6589679.0;549197.0;2023-01-28
1412;0;Paekaare tn;Pae tn;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6589212.0;546443.0;2024-03-25
1413;0;Mustakivi tee;Laagna tee;Lasnamäe linnaosa;Muu liiklusõnnetus;0.0;Tänav;Lumelörts, soolalumine segu;50.0;Pilvised olud;Valge aeg;6589741.0;549152.0;2021-01-31
1414;0;Pärnu mnt;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6588144.0;542196.0;2022-02-08
1415;0;Paldiski mnt;;Haabersti linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6588171.0;539285.0;2022-02-08
1416;0;;;Mustamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6585224.0;539683.0;2024-02-17
1417;0;Vabaõhumuuseumi tee;Lõuka tn;Haabersti linnaosa;Kokkupõrge sõidukiga küljelt;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588300.0;536173.0;2021-05-12
1418;0;F. R. Kreutzwaldi tn;Gonsiori tn;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6588733.0;543614.0;2021-11-14
1419;0;Mustamäe tee;Endla tn;Kristiine linnaosa;Sõidukite külgkokkupõrge;0.0;Tänav;Märg;50.0;Vihmasadu;Valge aeg;6588119.0;540062.0;2022-01-20
1420;0;Juhkentali tn;;Kesklinna linnaosa;Muu liiklusõnnetus;0.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6588149.0;543049.0;2023-11-06
1421;0;Ehitajate tee;E. Vilde tee;Haabersti linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6586260.0;537540.0;2021-05-04
1422;0;Tondi tn;;Kristiine linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6585807.0;541205.0;2024-11-30
1423;0;J. Smuuli tee;;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588098.0;547486.0;2022-10-01
1424;0;Raadiku tn;;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;30.0;Pilvised olud;Valge aeg;6589755.0;550335.0;2022-10-03
1425;0;Endla tn;;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6588269.0;541796.0;2024-03-20
1426;0;Majaka tn;Pallasti tn;Lasnamäe linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588136.0;544840.0;2024-04-01
1427;0;Endla tn;Tulika tn;Kristiine linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6587930.0;540899.0;2024-06-19
1428;0;Tartu mnt;Liivalaia tn;Kesklinna linnaosa;Kukkumine ühissõidukis;0.0;Tänav;Kuiv;50.0;Selged olud;Valge aeg;6588573.0;543313.0;2023-05-09
1429;0;Endla tn;;Kristiine linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Selged olud;Pimeda aeg;6587997.0;541059.0;2024-10-27
1430;0;E. Vilde tee;;Mustamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6585411.0;538366.0;2021-03-17
1431;0;Akadeemia tee;;Mustamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Lumelörts, soolalumine segu;50.0;Pilvised olud;Valge aeg;6584537.0;537986.0;2022-01-05
1432;0;Pikk tn;;Kesklinna linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;20.0;Selged olud;Pimeda aeg;6589110.0;542168.0;2024-10-26
1433;0;Tuuliku tee;;Haabersti linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;30.0;Selged olud;Pimeda aeg;6587009.0;538235.0;2024-03-26
1434;0;Pärnu mnt;;Kesklinna linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Vihmasadu;Pimeda aeg;6588880.0;542587.0;2021-11-25
1435;0;Marja tn;Mustamäe tee;Kristiine linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6587430.0;539659.0;2023-11-15
1436;0;Tähesaju tee;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Parkla;Märg;;Pilvised olud;Pimeda aeg;6589584.0;548327.0;2023-11-01
1437;0;J. Smuuli tee;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Pilvised olud;Valge aeg;6588108.0;547485.0;2024-12-02
1438;0;Sõpruse pst;;Mustamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Õuealatee;Lumelörts, soolalumine segu;20.0;Pilvised olud;Valge aeg;6584754.0;539343.0;2021-01-22
1439;0;Valge tn;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Lumelörts, soolalumine segu;50.0;Pilvised olud;Valge aeg;6589177.0;545508.0;2021-01-14
1440;0;Nõmme tee;Räägu tn;Kristiine linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Pilvised olud;Valge aeg;6586509.0;540777.0;2023-10-19
1441;0;Suur-Paala tn;Peterburi tee;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Vihmasadu;Valge aeg;6587919.0;546158.0;2021-08-26
1442;1;Vikerlase tn;;Lasnamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;30.0;Selged olud;Valge aeg;6589388.0;547855.0;2024-09-04
1443;1;Nelgi tn;;Nõmme linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;40.0;Pilvised olud;Valge aeg;6581933.0;540122.0;2021-11-20
1444;0;Õismäe tee;Paldiski mnt;Haabersti linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6586339.0;535996.0;2024-10-25
1445;0;Akadeemia tee;;Mustamäe linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Kuiv;50.0;Pilvised olud;Pimeda aeg;6585037.0;537390.0;2021-09-07
1446;0;Paldiski mnt;;Põhja-Tallinna linnaosa;Kokkupõrge jalakäijaga;1.0;Tänav;Märg;50.0;Pilvised olud;Pimeda aeg;6588259.0;539641.0;2024-12-07
